scan_date,scan_time,symbol,price_at_scan,scanner_score,float_score,momentum_score,volume_score,catalyst_score,multiday_score,vigl_bonus,vigl_match,rvol,float_shares,change_pct,volume,catalyst_text,entered,entry_date,entry_price,entry_thesis,exit_date,exit_price,hold_days,return_pct,return_dollars,outcome,notes
2026-02-10,16:46:45,ET,18.11,0,0,0,0,0,0,0,none,1.0,0,0,10989848.0,,No,,,,,,,,,,
2026-02-10,16:46:45,DOC,17,0,0,0,0,0,0,0,none,1.0,0,0,8385583.0,,No,,,,,,,,,,
2026-02-10,16:46:45,RIVN,14.96,0,0,0,0,0,0,0,none,1.0,0,0,37686378.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PRMB,18.85,0,0,0,0,0,0,0,none,1.0,0,0,3617471.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SBSW,16.78,0,0,0,0,0,0,0,none,1.0,0,0,4355162.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ZETA,17.17,0,0,0,0,0,0,0,none,1.0,0,0,5787610.0,,No,,,,,,,,,,
2026-02-10,16:46:45,WT,16.24,0,0,0,0,0,0,0,none,1.0,0,0,2677413.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PDI,18.96,0,0,0,0,0,0,0,none,1.0,0,0,4694223.0,,No,,,,,,,,,,
2026-02-10,16:46:45,STNE,17.82,0,0,0,0,0,0,0,none,1.0,0,0,4452380.0,,No,,,,,,,,,,
2026-02-10,16:46:45,BOIL,18.47,0,0,0,0,0,0,0,none,1.0,0,0,9861190.0,,No,,,,,,,,,,
2026-02-10,16:46:45,VISN,19.41,0,0,0,0,0,0,0,none,1.0,0,0,2710693.0,,No,,,,,,,,,,
2026-02-10,16:46:45,LYFT,16.85,0,0,0,0,0,0,0,none,1.0,0,0,34952256.0,,No,,,,,,,,,,
2026-02-10,16:46:45,KVUE,18.32,0,0,0,0,0,0,0,none,1.0,0,0,99748719.0,,No,,,,,,,,,,
2026-02-10,16:46:45,NVDX,16.98,0,0,0,0,0,0,0,none,1.0,0,0,7995138.0,,No,,,,,,,,,,
2026-02-10,16:46:45,SBRA,19.15,0,0,0,0,0,0,0,none,1.0,0,0,2982689.0,,No,,,,,,,,,,
2026-02-10,16:46:45,HR,17.36,0,0,0,0,0,0,0,none,1.0,0,0,3178385.0,,No,,,,,,,,,,
2026-02-10,16:46:45,KSS,17.3,0,0,0,0,0,0,0,none,1.0,0,0,3923226.0,,No,,,,,,,,,,
2026-02-10,16:46:45,PR,16.86,0,0,0,0,0,0,0,none,1.0,0,0,20091460.0,,No,,,,,,,,,,
2026-02-10,16:46:45,STWD,18.19,0,0,0,0,0,0,0,none,1.0,0,0,2718954.0,,No,,,,,,,,,,
2026-02-10,16:46:45,INFY,16.61,0,0,0,0,0,0,0,none,1.0,0,0,9978050.0,,No,,,,,,,,,,
2026-02-10,16:46:45,BEKE,18.48,0,0,0,0,0,0,0,none,1.0,0,0,4891502.0,,No,,,,,,,,,,
2026-02-10,16:46:45,ICLN,18.85,0,0,0,0,0,0,0,none,1.0,0,0,7045995.0,,No,,,,,,,,,,
2026-02-10,16:46:45,CAG,19.33,0,0,0,0,0,0,0,none,1.0,0,0,11372505.0,,No,,,,,,,,,,
2026-02-10,16:46:45,BKLN,20.67,0,0,0,0,0,0,0,none,1.0,0,0,21176621.0,,No,,,,,,,,,,
2026-02-10,16:46:45,TECS,17.45,0,0,0,0,0,0,0,none,1.0,0,0,2714564.0,,No,,,,,,,,,,
2026-02-10,16:46:45,FNB,18.69,0,0,0,0,0,0,0,none,1.0,0,0,4787069.0,,No,,,,,,,,,,
2026-02-10,16:46:45,XPEV,17.82,0,0,0,0,0,0,0,none,1.0,0,0,5999387.0,,No,,,,,,,,,,
2026-02-10,16:46:45,BRZE,18.36,0,0,0,0,0,0,0,none,1.0,0,0,3562214.0,,No,,,,,,,,,,
